name,specialty,phone,email,PatientId
Hulda Dunseith,Psychiatrist,836-494-0520,hdunseith0@dion.ne.jp,3
Fredrick Malpass,Radiologist,156-216-4827,fmalpass1@weebly.com,24
Gaspar Kerfod,Cardiologist,688-571-8433,gkerfod2@hexun.com,29
Bogey Heintsch,Gastroenterologist,225-827-1823,bheintsch3@cbslocal.com,21
Danette McCaughen,Gastroenterologist,601-798-1440,dmccaughen4@discovery.com,22
Henrie Tayspell,Radiologist,132-600-6376,htayspell5@cpanel.net,17
Row Wybern,Gastroenterologist,410-451-0563,rwybern6@mlb.com,12
Ad Biaggioli,Dermatologist,382-338-4316,abiaggioli7@hc360.com,26
Jewelle Copcutt,Surgeon,993-460-5917,jcopcutt8@about.com,21
Staford Westhead,Family Physician,812-582-3514,swesthead9@sciencedirect.com,30
Sophie McCuis,Surgeon,475-623-4412,smccuisa@360.cn,22
Rubin Pargeter,Gastroenterologist,501-325-4571,rpargeterb@nifty.com,4
Hattie Pettican,Anesthesiologist,506-271-9108,hpetticanc@sfgate.com,25
Chrissie Woodyer,Radiologist,271-115-1403,cwoodyerd@usa.gov,20
Danell Baudou,Anesthesiologist,319-418-6275,dbaudoue@comsenz.com,18
Zorina Trousdale,Anesthesiologist,332-619-7202,ztrousdalef@cafepress.com,17
Sosanna McVee,Cardiologist,462-977-8125,smcveeg@unblog.fr,2
Arnaldo St. Leger,Anesthesiologist,512-933-5184,asth@ft.com,9
Jeremy Gligorijevic,Psychiatrist,352-512-8643,jgligorijevici@freewebs.com,7
Faye Tompkinson,Family Physician,159-615-5247,ftompkinsonj@wikipedia.org,29
Fanechka Killeley,Family Physician,995-703-6400,fkilleleyk@msu.edu,5
Rebeca Ruegg,Gastroenterologist,506-358-7894,rrueggl@unblog.fr,3
Angele Reap,Dermatologist,859-682-7371,areapm@arizona.edu,19
Alverta Blucher,Dermatologist,888-241-5387,abluchern@people.com.cn,7
Tammy Measures,Gastroenterologist,426-560-3742,tmeasureso@mail.ru,16
Hortense Mattingley,Anesthesiologist,168-929-2236,hmattingleyp@merriam-webster.com,10
Virginia Wicken,Gastroenterologist,317-947-9094,vwickenq@berkeley.edu,3
Trescha Innman,Anesthesiologist,212-485-8691,tinnmanr@tmall.com,16
Clayson Meller,Family Physician,105-143-5780,cmellers@apple.com,13
Birgit Janzen,Anesthesiologist,767-681-3268,bjanzent@twitpic.com,22
Margalo Sweeny,Surgeon,642-603-0216,msweenyu@netlog.com,27
Terri Hammor,Radiologist,867-770-1330,thammorv@barnesandnoble.com,26
Adina Izhaky,Psychiatrist,301-291-3709,aizhakyw@economist.com,5
Ariana Bloss,Surgeon,389-788-7128,ablossx@webeden.co.uk,16
Cher Cleyburn,Family Physician,391-266-2892,ccleyburny@istockphoto.com,22
Fernande Tydeman,Family Physician,208-346-1775,ftydemanz@prnewswire.com,25
Devondra Montilla,Anesthesiologist,266-578-2046,dmontilla10@businessweek.com,21
Dominick Ewbanck,Gastroenterologist,450-460-4069,dewbanck11@usda.gov,3
Suzi Stokes,Gastroenterologist,793-204-9898,sstokes12@huffingtonpost.com,5
Eachelle Simonds,Gastroenterologist,311-825-8171,esimonds13@xing.com,26
Diannne Leopold,Dermatologist,806-842-4654,dleopold14@va.gov,15
Shelley Eldredge,Gastroenterologist,449-607-4385,seldredge15@merriam-webster.com,8
Carita Dable,Radiologist,187-256-5492,cdable16@wix.com,21
Lonnard Corneliussen,Dermatologist,611-113-8818,lcorneliussen17@un.org,23
Devy Jakubovits,Psychiatrist,335-906-9580,djakubovits18@oracle.com,2
